Country Name,Country Code,Series Name,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Argentina,ARG,Adjusted net national income (annual % growth),-3.446138435,5.050909519,-1.782622202,5.672500021,-6.949254354,-4.698899588
Argentina,ARG,Adjusted net national income (constant 2015 US$),4.79448E+11,5.03664E+11,4.94686E+11,5.22747E+11,4.8642E+11,4.63564E+11
Argentina,ARG,Adjusted net national income (current US$),4.35775E+11,5.03664E+11,4.70935E+11,5.5046E+11,4.30565E+11,3.66726E+11
Argentina,ARG,Adjusted net national income per capita (annual % growth),-4.501896117,3.924541342,-2.815488968,4.58219842,-7.889687014,-5.640931522
Argentina,ARG,Adjusted net national income per capita (constant 2015 US$),11236.31487,11677.28869,11348.51592,11868.52744,11491.37132,10742.25073
Argentina,ARG,Adjusted net national income per capita (current US$),10212.7923,11677.28869,10803.64227,12497.73051,9676.811107,8160.572029
Argentina,ARG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",63.253,63.096,62.939,62.782,62.5654,62.3488
Argentina,ARG,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",0.949999988,0.959999979,0.970000029,0.980000019,0.790000021,0.819999993
Argentina,ARG,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",0.319999993,0.319999993,0.319999993,0.310000002,0.370000005,0.370000005
Argentina,ARG,"Employers, female (% of female employment) (modeled ILO estimate)",2.269999981,2.359999895,2.390000105,2.460000038,2.619999886,2.400000095
Argentina,ARG,"Employers, male (% of male employment) (modeled ILO estimate)",4.309999943,4.489999771,4.639999866,4.820000172,4.860000134,4.829999924
Argentina,ARG,"Employers, total (% of total employment) (modeled ILO estimate)",3.480000019,3.609999895,3.710000038,3.829999924,3.910000086,3.789999962
Argentina,ARG,Employment in agriculture (% of total employment) (modeled ILO estimate),0.550000012,0.25999999,0.129999995,0.059999999,0.100000001,0.059999999
Argentina,ARG,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",0.159999996,0.07,0.029999999,0.02,0.059999999,0.029999999
Argentina,ARG,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",0.819999993,0.389999986,0.189999998,0.090000004,0.119999997,0.079999998
Argentina,ARG,Employment in industry (% of total employment) (modeled ILO estimate),24.15999985,23.65999985,22.87999916,22.44000053,21.90999985,21.84000015
